subid,tr.num,gaze_condition,correct,age,age_group,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
45,5,gaze,1,NA,3,boat,0.4079999999999995,gaze,0.41,guess,0,0.009999999999999898,cs,0.56
21,24,gaze,1,1835,5,ball,0.4090000000000007,gaze,0.41,guess,0,0.009999999999999898,cs,0.56
45,10,gaze,0,NA,3,juice,0.41000000000000014,gaze,0.41,guess,0,0.009999999999999898,cs,0.56
34,26,gaze,1,2016,5,shoe,0.43299999999999983,gaze,0.43,guess,0,0.009999999999999898,cs,0.56
4,23,gaze,1,1804,4,bunny,0.4349999999999996,gaze,0.43,guess,0,0.009999999999999898,cs,0.56
15,1,gaze,0,1077,2,cookie,0.43599999999999994,gaze,0.44,guess,0,0.009999999999999898,cs,0.56
16,10,gaze,1,1741,4,cookie,0.43599999999999994,gaze,0.44,guess,0,0.009999999999999898,cs,0.56
19,28,gaze,1,1664,4,bottle,0.4370000000000003,gaze,0.44,guess,0,0,cs,0.57
1,27,gaze,0,1813,4,shoe,0.4379999999999997,gaze,0.44,guess,0,0.009999999999999898,cs,0.56
23,30,gaze,1,1971,5,shoe,0.4379999999999997,gaze,0.44,guess,0,0,cs,0.57
32,2,gaze,0,1751,4,ball,0.43900000000000006,gaze,0.44,guess,0,0.009999999999999898,cs,0.56
18,6,gaze,1,1894,5,shoe,0.4400000000000004,gaze,0.44,guess,0,0.009999999999999898,cs,0.56
26,9,gaze,0,1789,4,shoe,0.4400000000000004,gaze,0.44,guess,0,0.009999999999999898,cs,0.56
15,13,gaze,1,1077,2,boat,0.44099999999999984,gaze,0.44,guess,0,0.009999999999999898,cs,0.56
27,20,gaze,1,1163,3,juice,0.44099999999999984,gaze,0.44,guess,0,0,cs,0.57
44,14,gaze,1,NA,4,chicken,0.44099999999999984,gaze,0.44,guess,0,0,cs,0.57
25,7,gaze,1,1929,5,boat,0.44200000000000017,gaze,0.44,response,1,0.010000000000000009,cs,0.58
26,7,gaze,1,1789,4,bottle,0.44200000000000017,gaze,0.44,response,1,0.010000000000000009,cs,0.58
34,25,gaze,1,2016,5,ball,0.44200000000000017,gaze,0.44,response,1,0.020000000000000018,cs,0.59
45,13,gaze,1,NA,3,chicken,0.44200000000000017,gaze,0.44,response,1,0.020000000000000018,cs,0.59
15,8,gaze,1,1077,2,shoe,0.46699999999999964,gaze,0.47,response,1,0.020000000000000018,cs,0.59
19,27,gaze,1,1664,4,bunny,0.46799999999999997,gaze,0.47,response,1,0.030000000000000027,cs,0.6
3,5,gaze,0,1914,5,bunny,0.46799999999999997,gaze,0.47,response,1,0.020000000000000018,cs,0.59
3,13,gaze,1,1914,5,bunny,0.46799999999999997,gaze,0.47,response,1,0.030000000000000027,cs,0.6
47,23,gaze,0,NA,4,bunny,0.46799999999999997,gaze,0.47,response,1,0.020000000000000018,cs,0.59
5,17,gaze,1,1873,5,bunny,0.46799999999999997,gaze,0.47,response,1,0.020000000000000018,cs,0.59
6,24,gaze,1,1507,4,bunny,0.46799999999999997,gaze,0.47,response,1,0.030000000000000027,cs,0.6
15,10,gaze,1,1077,2,bunny,0.4689999999999994,gaze,0.47,response,1,0.030000000000000027,cs,0.6
2,16,gaze,0,1873,5,bunny,0.4689999999999994,gaze,0.47,response,1,0.030000000000000027,cs,0.6
21,22,gaze,1,1835,5,bunny,0.4689999999999994,gaze,0.47,response,1,0.030000000000000027,cs,0.6
