subid,tr.num,condition_long,correct,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
17,13,gaze_clear,1,ball,0.5090000000000003,gaze_clear,0.51,response,1,0.16000000000000003,cs,0.76
22,20,gaze_clear,0,chicken,0.5090000000000003,gaze_clear,0.51,response,1,0.15000000000000002,cs,0.75
5,13,gaze_clear,1,juice,0.5099999999999998,gaze_clear,0.51,response,1,0.16000000000000003,cs,0.76
8,12,gaze_clear,1,juice,0.5099999999999998,gaze_clear,0.51,response,1,0.16000000000000003,cs,0.76
14,48,gaze_clear,0,shoe,0.5330000000000004,gaze_clear,0.53,response,1,0.15000000000000002,cs,0.75
33,45,gaze_clear,1,shoe,0.5330000000000004,gaze_clear,0.53,response,1,0.15000000000000002,cs,0.75
7,7,gaze_clear,1,bunny,0.5339999999999998,gaze_clear,0.53,response,1,0.16000000000000003,cs,0.76
28,63,gaze_clear,1,bunny,0.5349999999999993,gaze_clear,0.53,response,1,0.16000000000000003,cs,0.76
10,55,gaze_clear,1,bunny,0.5350000000000001,gaze_clear,0.54,response,1,0.16000000000000003,cs,0.76
2,45,gaze_clear,1,bunny,0.5350000000000001,gaze_clear,0.54,response,1,0.16000000000000003,cs,0.76
6,5,gaze_clear,1,cookie,0.5359999999999996,gaze_clear,0.54,response,1,0.17000000000000004,cs,0.77
12,47,gaze_clear,1,cookie,0.5360000000000005,gaze_clear,0.54,response,1,0.17000000000000004,cs,0.77
33,44,gaze_clear,1,cookie,0.5360000000000005,gaze_clear,0.54,response,1,0.17000000000000004,cs,0.77
34,30,gaze_clear,1,chicken,0.5369999999999999,gaze_clear,0.54,response,1,0.17000000000000004,cs,0.77
5,2,gaze_clear,1,bottle,0.5369999999999999,gaze_clear,0.54,response,1,0.17000000000000004,cs,0.77
10,50,gaze_clear,1,juice,0.5380000000000003,gaze_clear,0.54,response,1,0.18000000000000005,cs,0.78
27,55,gaze_clear,0,juice,0.5380000000000003,gaze_clear,0.54,response,1,0.17000000000000004,cs,0.77
2,33,gaze_clear,1,ball,0.5389999999999997,gaze_clear,0.54,response,1,0.17000000000000004,cs,0.77
11,25,gaze_clear,1,shoe,0.54,gaze_clear,0.54,response,1,0.17000000000000004,cs,0.77
11,26,gaze_clear,1,boat,0.54,gaze_clear,0.54,response,1,0.18000000000000005,cs,0.78
2,48,gaze_clear,1,boat,0.54,gaze_clear,0.54,response,1,0.18000000000000005,cs,0.78
20,60,gaze_clear,1,ball,0.54,gaze_clear,0.54,response,1,0.18000000000000005,cs,0.78
21,33,gaze_clear,1,boat,0.54,gaze_clear,0.54,response,1,0.17000000000000004,cs,0.78
26,40,gaze_clear,0,ball,0.54,gaze_clear,0.54,response,1,0.16000000000000003,cs,0.77
30,26,gaze_clear,1,boat,0.54,gaze_clear,0.54,response,1,0.17000000000000004,cs,0.78
8,4,gaze_clear,1,shoe,0.54,gaze_clear,0.54,response,1,0.17000000000000004,cs,0.78
21,46,gaze_clear,1,chicken,0.5409999999999995,gaze_clear,0.54,response,1,0.17000000000000004,cs,0.78
26,34,gaze_clear,1,chicken,0.5409999999999995,gaze_clear,0.54,response,1,0.17000000000000004,cs,0.78
10,53,gaze_clear,1,juice,0.5410000000000004,gaze_clear,0.54,response,1,0.18000000000000005,cs,0.79
12,41,gaze_clear,1,boat,0.5410000000000004,gaze_clear,0.54,response,1,0.18000000000000005,cs,0.79
2,47,gaze_clear,1,chicken,0.5419999999999998,gaze_clear,0.54,response,1,0.18000000000000005,cs,0.79
5,5,gaze_clear,1,boat,0.5419999999999998,gaze_clear,0.54,response,1,0.18000000000000005,cs,0.79
10,58,gaze_clear,1,bottle,0.5420000000000007,gaze_clear,0.54,response,1,0.18000000000000005,cs,0.79
11,19,gaze_clear,1,ball,0.5420000000000007,gaze_clear,0.54,response,1,0.19000000000000006,cs,0.8
11,24,gaze_clear,1,chicken,0.5420000000000007,gaze_clear,0.54,response,1,0.19000000000000006,cs,0.8
18,8,gaze_clear,1,chicken,0.5420000000000007,gaze_clear,0.54,response,1,0.19000000000000006,cs,0.8
3,24,gaze_clear,0,chicken,0.5420000000000007,gaze_clear,0.54,response,1,0.18000000000000005,cs,0.79
15,17,gaze_clear,1,juice,0.5430000000000001,gaze_clear,0.54,response,1,0.18000000000000005,cs,0.79
27,51,gaze_clear,1,boat,0.5430000000000001,gaze_clear,0.54,response,1,0.19000000000000006,cs,0.8
4,8,gaze_clear,1,juice,0.5430000000000001,gaze_clear,0.54,response,1,0.19000000000000006,cs,0.8
15,25,gaze_clear,1,bunny,0.5679999999999996,gaze_clear,0.57,response,1,0.19000000000000006,cs,0.8
30,29,gaze_clear,1,bunny,0.5679999999999996,gaze_clear,0.57,response,1,0.19000000000000006,cs,0.8
4,3,gaze_clear,1,bunny,0.5679999999999996,gaze_clear,0.57,response,1,0.19000000000000006,cs,0.8
7,13,gaze_clear,1,bunny,0.5679999999999996,gaze_clear,0.57,response,1,0.20000000000000007,cs,0.81
2,34,gaze_clear,1,bunny,0.569,gaze_clear,0.57,response,1,0.20000000000000007,cs,0.81
14,34,gaze_clear,1,bottle,0.5699999999999994,gaze_clear,0.57,response,1,0.20000000000000007,cs,0.81
8,15,gaze_clear,1,chicken,0.5699999999999994,gaze_clear,0.57,response,1,0.20000000000000007,cs,0.81
8,7,gaze_clear,1,bottle,0.5700000000000003,gaze_clear,0.57,response,1,0.20000000000000007,cs,0.81
9,49,gaze_clear,1,juice,0.5710000000000006,gaze_clear,0.57,response,1,0.20999999999999996,cs,0.82
18,12,gaze_clear,1,ball,0.5720000000000001,gaze_clear,0.57,response,1,0.20999999999999996,cs,0.82
26,35,gaze_clear,1,boat,0.5739999999999998,gaze_clear,0.57,response,1,0.20999999999999996,cs,0.82
5,3,gaze_clear,0,juice,0.5739999999999998,gaze_clear,0.57,response,1,0.20000000000000007,cs,0.81
15,19,gaze_clear,1,boat,0.5740000000000007,gaze_clear,0.57,response,1,0.20000000000000007,cs,0.81
24,37,gaze_clear,1,boat,0.5740000000000007,gaze_clear,0.57,response,1,0.20999999999999996,cs,0.82
29,30,gaze_clear,1,boat,0.5740000000000007,gaze_clear,0.57,response,1,0.20999999999999996,cs,0.82
13,31,gaze_clear,1,chicken,0.5750000000000002,gaze_clear,0.58,response,1,0.20999999999999996,cs,0.82
19,14,gaze_clear,1,bottle,0.5750000000000002,gaze_clear,0.58,response,1,0.20999999999999996,cs,0.82
21,39,gaze_clear,0,chicken,0.5750000000000002,gaze_clear,0.58,response,1,0.20000000000000007,cs,0.81
31,49,gaze_clear,1,bottle,0.5750000000000002,gaze_clear,0.58,response,1,0.20000000000000007,cs,0.81
34,29,gaze_clear,1,chicken,0.5750000000000002,gaze_clear,0.58,response,1,0.20999999999999996,cs,0.82
7,10,gaze_clear,1,boat,0.5750000000000002,gaze_clear,0.58,response,1,0.20999999999999996,cs,0.82
8,11,gaze_clear,1,boat,0.5750000000000002,gaze_clear,0.58,response,1,0.20999999999999996,cs,0.82
14,33,gaze_clear,1,cookie,0.5759999999999996,gaze_clear,0.58,response,1,0.20999999999999996,cs,0.82
2,42,gaze_clear,1,cookie,0.5759999999999996,gaze_clear,0.58,response,1,0.20999999999999996,cs,0.82
11,29,gaze_clear,1,juice,0.5760000000000005,gaze_clear,0.58,response,1,0.21999999999999997,cs,0.83
29,25,gaze_clear,1,juice,0.5760000000000005,gaze_clear,0.58,response,1,0.21999999999999997,cs,0.83
11,23,gaze_clear,1,bunny,0.601,gaze_clear,0.6,response,1,0.21999999999999997,cs,0.83
20,59,gaze_clear,1,bunny,0.6019999999999994,gaze_clear,0.6,response,1,0.21999999999999997,cs,0.83
21,38,gaze_clear,0,bunny,0.6019999999999994,gaze_clear,0.6,response,1,0.20999999999999996,cs,0.82
21,41,gaze_clear,1,cookie,0.6020000000000003,gaze_clear,0.6,response,1,0.20999999999999996,cs,0.82
28,55,gaze_clear,1,cookie,0.6020000000000003,gaze_clear,0.6,response,1,0.21999999999999997,cs,0.83
16,30,gaze_clear,1,cookie,0.6029999999999998,gaze_clear,0.6,response,1,0.21999999999999997,cs,0.83
7,4,gaze_clear,1,cookie,0.6029999999999998,gaze_clear,0.6,response,1,0.21999999999999997,cs,0.83
12,40,gaze_clear,1,juice,0.6040000000000001,gaze_clear,0.6,response,1,0.21999999999999997,cs,0.83
13,20,gaze_clear,1,ball,0.6059999999999999,gaze_clear,0.61,response,1,0.21999999999999997,cs,0.83
19,5,gaze_clear,1,shoe,0.6059999999999999,gaze_clear,0.61,response,1,0.21999999999999997,cs,0.83
2,35,gaze_clear,1,ball,0.6059999999999999,gaze_clear,0.61,response,1,0.22999999999999998,cs,0.84
28,62,gaze_clear,1,ball,0.6059999999999999,gaze_clear,0.61,response,1,0.22999999999999998,cs,0.84
33,37,gaze_clear,1,ball,0.6059999999999999,gaze_clear,0.61,response,1,0.22999999999999998,cs,0.84
8,5,gaze_clear,1,shoe,0.6059999999999999,gaze_clear,0.61,response,1,0.22999999999999998,cs,0.84
6,10,gaze_clear,1,juice,0.6070000000000002,gaze_clear,0.61,response,1,0.22999999999999998,cs,0.84
12,45,gaze_clear,1,chicken,0.6079999999999997,gaze_clear,0.61,response,1,0.22999999999999998,cs,0.84
24,36,gaze_clear,1,chicken,0.6079999999999997,gaze_clear,0.61,response,1,0.24,cs,0.85
2,44,gaze_clear,1,juice,0.6080000000000005,gaze_clear,0.61,response,1,0.24,cs,0.85
22,29,gaze_clear,0,bottle,0.609,gaze_clear,0.61,response,1,0.22999999999999998,cs,0.84
18,15,gaze_clear,1,juice,0.6100000000000003,gaze_clear,0.61,response,1,0.22999999999999998,cs,0.84
