stimulus_name,stimulus,stimulus_type,order_age,trial_num_exp,order_name
gr_sa_bosa_nonoise_look,96d8451d047a826632d9537d4ec9ec80_1920x1080,Composite,adult,23,gaze_nogaze_ol_gr
gr_sa_bosa_nonoise_hey,e6d6b6156de07c7fb0a9dcc4eae3f308_1920x1080,Composite,adult,24,gaze_nogaze_ol_gr
gr_sa_modi_nonoise_look,a9d74b4d697ac943fdb9662bccc87bd1_1920x1080,Composite,adult,25,gaze_nogaze_ol_gr
gr_sa_modi_nonoise_hey,67f22ef2f53cdd45406fb43a588de6b3_1920x1080,Composite,adult,26,gaze_nogaze_ol_gr
gr_sa_modi_nonoise_hey,46b21f34e4834b5f111868b2850c3478_1920x1080,Composite,adult,27,gaze_nogaze_ol_gr
gr_sa_modi_nonoise_look,0de6a4555e53ed8af943a53895ad40c4_1920x1080,Composite,adult,28,gaze_nogaze_ol_gr
gr_sa_modi_nonoise_hey,5dd4c6c7bd652decb44fcb5977b81521_1920x1080,Composite,adult,29,gaze_nogaze_ol_gr
gr_sa_modi_nonoise_look,62c38068be2bb7f81fc1fb52f7e68452_1920x1080,Composite,adult,30,gaze_nogaze_ol_gr
gr_sa_modi_nonoise_look,ccc672b02bb3a427c08c50976bb1521f_1920x1080,Composite,adult,31,gaze_nogaze_ol_gr
gr_sa_modi_nonoise_hey,c835a2c67db27d7c5fe76b7cf3644b34_1920x1080,Composite,adult,32,gaze_nogaze_ol_gr
gr_sa_bosa_nonoise_hey,24188a4a8010b56ab8ec7d89ca523c41_1920x1080,Composite,adult,1,nogaze_gaze_gr_ol
gr_sa_bosa_nonoise_hey,c0590f8304863a2c62a3a1606860018f_1920x1080,Composite,adult,2,nogaze_gaze_gr_ol
gr_sa_bosa_nonoise_look,42118acd7dd4f5ab7d18ace7fd7f4ccf_1920x1080,Composite,adult,3,nogaze_gaze_gr_ol
gr_sa_bosa_nonoise_look,4830de28c71d6173462bb53ebf757049_1920x1080,Composite,adult,4,nogaze_gaze_gr_ol
gr_sa_bosa_nonoise_hey,7fee44bd1be51d262545ba13c97ad322_1920x1080,Composite,adult,5,nogaze_gaze_gr_ol
gr_sa_bosa_nonoise_look,4de9452045516e9d50846ef0621f5a29_1920x1080,Composite,adult,6,nogaze_gaze_gr_ol
gr_sa_bosa_nonoise_hey,8b3326790f22defa8b5a0896927dac55_1920x1080,Composite,adult,7,nogaze_gaze_gr_ol
gr_sa_bosa_nonoise_look,a9cf3e31ae4f99e93dbadc2771385730_1920x1080,Composite,adult,8,nogaze_gaze_gr_ol
gr_sa_pifo_nonoise_hey,43a216e315e872249692915f6c8855bf_1920x1080,Composite,adult,9,nogaze_gaze_gr_ol
gr_sa_pifo_nonoise_hey,52af4b4cb37baaabf15a649b10d988f3_1920x1080,Composite,adult,10,nogaze_gaze_gr_ol
gr_sa_pifo_nonoise_look,385d4a41004a4ec351f3db3fb984828f_1920x1080,Composite,adult,11,nogaze_gaze_gr_ol
gr_sa_pifo_nonoise_look,3eb94893b2790277f195722daa33953f_1920x1080,Composite,adult,12,nogaze_gaze_gr_ol
gr_sa_pifo_nonoise_hey,3af68d7a536f2c1b2975c4c3b0191060_1920x1080,Composite,adult,13,nogaze_gaze_gr_ol
gr_sa_pifo_nonoise_look,e665af1efd3cd14c2e30efe032b41af8_1920x1080,Composite,adult,14,nogaze_gaze_gr_ol
gr_sa_pifo_nonoise_hey,d9311119d64539207f4f6424b8c2f912_1920x1080,Composite,adult,15,nogaze_gaze_gr_ol
gr_sa_pifo_nonoise_look,fd7bc4e0dd93754c41d52cec8ccde185_1920x1080,Composite,adult,16,nogaze_gaze_gr_ol
ol_sa_bottle_nonoise_look,67a32392adbd5dcf905315e855d3c988_1920x1080,Composite,adult,16,nogaze_gaze_gr_ol
