t.rel.noun,gaze_condition,target_looking,age_code,ci_lower,ci_upper,mean
1.6,gaze,distracter,adults,0.001838235294117647,0.022272263071895417,0.010743464052287582
1.6,gaze,distracter,children,0.06513905026133288,0.14196797315003837,0.10179449174014392
1.6,gaze,target,adults,0.8058453525641026,0.9410810574229691,0.8819870897076779
1.6,gaze,target,children,0.31241544008527705,0.4485312513573383,0.37903310457658285
1.6,straight_ahead,center,adults,0.046749824929972,0.1790909488795518,0.10413165266106443
1.6,straight_ahead,center,children,0.26412954421785945,0.371737781391314,0.31498534677882506
1.6,straight_ahead,distracter,adults,0.010237219887955187,0.04772627801120448,0.02743751346692523
1.6,straight_ahead,distracter,children,0.08555466574488316,0.14978216831477698,0.11645839064317325
1.6,straight_ahead,target,adults,0.7874766012174099,0.9331031162464986,0.8684308338720104
1.6,straight_ahead,target,children,0.5118998483400657,0.6213108080023841,0.5685562625780017
1.6333333333333333,gaze,NA,adults,NA,NA,NaN
1.6333333333333333,gaze,NA,children,NA,NA,NaN
1.6333333333333333,straight_ahead,NA,adults,NA,NA,NaN
1.6333333333333333,straight_ahead,NA,children,NA,NA,NaN
1.6666666666666667,gaze,NA,adults,NA,NA,NaN
1.6666666666666667,gaze,NA,children,NA,NA,NaN
1.6666666666666667,straight_ahead,NA,adults,NA,NA,NaN
1.6666666666666667,straight_ahead,NA,children,NA,NA,NaN
1.7,gaze,center,adults,0.05235043449197862,0.18496319550547494,0.11244588744588745
1.7,gaze,center,children,0.48973775997553176,0.6227544639840835,0.5554913082086995
1.7,gaze,distracter,adults,0.00392156862745098,0.027591036414565825,0.013865546218487394
1.7,gaze,distracter,children,0.05428535006660007,0.1257068520247868,0.08646570820483863
1.7,gaze,target,adults,0.7952027629233511,0.9347573688566335,0.8736885663356252
1.7,gaze,target,children,0.29621770515112916,0.4215250857234553,0.35804298358646186
1.7,straight_ahead,center,adults,0.0671224884184443,0.21047861452273214,0.13416154923507864
1.7,straight_ahead,center,children,0.2964247821924453,0.4140379774211296,0.35651449999276086
1.7,straight_ahead,distracter,adults,0.007002127774186598,0.041501191822883,0.02305537599655247
1.7,straight_ahead,distracter,children,0.09006960430873477,0.1499525926971579,0.11911955797825363
1.7,straight_ahead,target,adults,0.7575549787222582,0.9183019553975437,0.8427830747683689
1.7,straight_ahead,target,children,0.46409868211498645,0.5794864804579478,0.5243659420289855
1.7333333333333334,gaze,NA,adults,NA,NA,NaN
1.7333333333333334,gaze,NA,children,NA,NA,NaN
1.7333333333333334,straight_ahead,NA,adults,NA,NA,NaN
1.7333333333333334,straight_ahead,NA,children,NA,NA,NaN
1.7666666666666666,gaze,NA,adults,NA,NA,NaN
1.7666666666666666,gaze,NA,children,NA,NA,NaN
1.7666666666666666,straight_ahead,NA,adults,NA,NA,NaN
1.7666666666666666,straight_ahead,NA,children,NA,NA,NaN
1.8,gaze,center,adults,0.06467086834733894,0.19441307773109243,0.12216251885369532
1.8,gaze,center,children,0.5056629722934072,0.6506701518590106,0.5736427823384345
1.8,gaze,distracter,adults,0,0.025630252100840335,0.009943977591036414
1.8,gaze,distracter,children,0.04290725578769058,0.09794145166427776,0.06743691091517179
1.8,gaze,target,adults,0.7846336659663865,0.9298590686274509,0.8678935035552683
1.8,gaze,target,children,0.2860412300561757,0.4269222119969402,0.3589203067463937
1.8,straight_ahead,center,adults,0.084739010989011,0.23316031701141995,0.15004578754578754
1.8,straight_ahead,center,children,0.34455539478637304,0.47652120071957027,0.41367943650552347
1.8,straight_ahead,distracter,adults,0.008446455505279034,0.04025883124228712,0.022696421225832993
1.8,straight_ahead,distracter,children,0.09131533774196819,0.14485200261694822,0.11833284469154035
1.8,straight_ahead,target,adults,0.7404207863215216,0.908101426759515,0.8272577912283795
1.8,straight_ahead,target,children,0.4056653491436101,0.5272355226295443,0.4679877188029362
1.8333333333333333,gaze,NA,adults,NA,NA,NaN
1.8333333333333333,gaze,NA,children,NA,NA,NaN
1.8333333333333333,straight_ahead,NA,adults,NA,NA,NaN
1.8333333333333333,straight_ahead,NA,children,NA,NA,NaN
1.8666666666666667,gaze,NA,adults,NA,NA,NaN
1.8666666666666667,gaze,NA,children,NA,NA,NaN
1.8666666666666667,straight_ahead,NA,adults,NA,NA,NaN
1.8666666666666667,straight_ahead,NA,children,NA,NA,NaN
1.9,gaze,center,adults,0.07779586834733895,0.21887298669467786,0.1424719887955182
1.9,gaze,center,children,0.5189787205548076,0.6541514637234745,0.5888084439714875
1.9,gaze,distracter,adults,0,0.03137254901960784,0.012464985994397758
1.9,gaze,distracter,children,0.03952391584864412,0.08562548185510141,0.061808481373698765
1.9,gaze,target,adults,0.7709602591036414,0.9107068452380952,0.845063025210084
1.9,gaze,target,children,0.2833783750971251,0.41328698777068346,0.3493830746548138
1.9,straight_ahead,center,adults,0.09828632458228051,0.27323287007110536,0.17799969638204932
1.9,straight_ahead,center,children,0.38716660603888864,0.49685873003807784,0.44058694928260145
1.9,straight_ahead,distracter,adults,0.009440513530587068,0.04661406914164265,0.025164908620790974
1.9,straight_ahead,distracter,children,0.08775630393157569,0.14060632302480128,0.11314672646194385
1.9,straight_ahead,target,adults,0.6914909171710641,0.8821548151603298,0.7968353949971597
1.9,straight_ahead,target,children,0.3885734962501267,0.506512174419783,0.4462663242554547
1.9333333333333333,gaze,NA,adults,NA,NA,NaN
1.9333333333333333,gaze,NA,children,NA,NA,NaN
1.9333333333333333,straight_ahead,NA,adults,NA,NA,NaN
1.9333333333333333,straight_ahead,NA,children,NA,NA,NaN
1.9666666666666666,gaze,NA,adults,NA,NA,NaN
1.9666666666666666,gaze,NA,children,NA,NA,NaN
1.9666666666666666,straight_ahead,NA,adults,NA,NA,NaN
1.9666666666666666,straight_ahead,NA,children,NA,NA,NaN
2,gaze,center,adults,0.08478069724393253,0.22410078585630056,0.151758535582065
2,gaze,center,children,0.5495548940793507,0.6660218804444348,0.6072388360431838
2,gaze,distracter,adults,0.001838235294117647,0.03820583521870283,0.015111236802413273
2,gaze,distracter,children,0.03966137727007293,0.08567486860965122,0.06293700261091566
2,gaze,target,adults,0.7597289995543672,0.9053008021390375,0.8331302276155217
2,gaze,target,children,0.2754754122688905,0.38367978564310085,0.3298241613459005
2,straight_ahead,center,adults,0.10533003148811976,0.2851586526218879,0.1873026483320601
2,straight_ahead,center,children,0.41812391488342576,0.526988186933839,0.47427910253997213
2,straight_ahead,distracter,adults,0.008811274509803924,0.0428292326546003,0.023708521870286575
2,straight_ahead,distracter,children,0.08574221068786286,0.13919551463029722,0.11162931271626923
2,straight_ahead,target,adults,0.693799441979589,0.8817815854488649,0.7889888297976533
2,straight_ahead,target,children,0.35742310527636617,0.47286814634640717,0.4140915847437587
2.033333333333333,gaze,NA,adults,NA,NA,NaN
2.033333333333333,gaze,NA,children,NA,NA,NaN
2.033333333333333,straight_ahead,NA,adults,NA,NA,NaN
2.033333333333333,straight_ahead,NA,children,NA,NA,NaN
2.066666666666667,gaze,NA,adults,NA,NA,NaN
2.066666666666667,gaze,NA,children,NA,NA,NaN
2.066666666666667,straight_ahead,NA,adults,NA,NA,NaN
2.066666666666667,straight_ahead,NA,children,NA,NA,NaN
2.1,gaze,center,adults,0.11205399992164698,0.2653536659419012,0.19122458423929012
2.1,gaze,center,children,0.5406675005248376,0.6587021515622058,0.5983617831443918
2.1,gaze,distracter,adults,0.0024356617647058963,0.04662922861452273,0.019803113553113552
2.1,gaze,distracter,children,0.04750264907194256,0.09668218707620879,0.07112437683089858
2.1,gaze,target,adults,0.7040474476503888,0.8667935465270025,0.7889723022075963
2.1,gaze,target,children,0.2684323368358694,0.3876898674996501,0.33051384002470957
2.1,straight_ahead,center,adults,0.11638993359581597,0.27843512492409545,0.19630394115688232
