time_ms_normalized,gaze_condition,trial_type,age_category,target_looking,m,n
1584,straight_ahead,test,adults,center,0.11042692939244664,29
1584,straight_ahead,test,adults,distracter,0.0722495894909688,29
1584,straight_ahead,test,adults,target,0.8173234811165846,29
1617,gaze,exposure,children,center,0.46159420289855074,46
1617,gaze,exposure,children,distracter,0.22634575569358178,46
1617,gaze,exposure,children,target,0.31206004140786747,46
1617,gaze,exposure,adults,center,0.24688013136288997,29
1617,gaze,exposure,adults,distracter,0.05636288998357964,29
1617,gaze,exposure,adults,target,0.6967569786535304,29
1617,gaze,test,children,center,0.3353174603174603,45
1617,gaze,test,children,distracter,0.2550793650793651,45
1617,gaze,test,children,target,0.4096031746031746,45
1617,gaze,test,adults,center,0.1844047619047619,30
1617,gaze,test,adults,distracter,0.03841269841269841,30
1617,gaze,test,adults,target,0.7771825396825397,30
1617,straight_ahead,exposure,children,center,0.335612968591692,47
1617,straight_ahead,exposure,children,distracter,0.3296099290780142,47
1617,straight_ahead,exposure,children,target,0.33477710233029384,47
1617,straight_ahead,exposure,adults,center,0.12896825396825395,30
1617,straight_ahead,exposure,adults,distracter,0.16166666666666665,30
1617,straight_ahead,exposure,adults,target,0.7093650793650793,30
1617,straight_ahead,test,children,center,0.3793819655521783,47
1617,straight_ahead,test,children,distracter,0.2660081053698075,47
1617,straight_ahead,test,children,target,0.3546099290780142,47
1617,straight_ahead,test,adults,center,0.09702380952380953,30
1617,straight_ahead,test,adults,distracter,0.06984126984126984,30
1617,straight_ahead,test,adults,target,0.8331349206349207,30
1650,gaze,exposure,children,center,0.48022774327122153,46
1650,gaze,exposure,children,distracter,0.20499482401656313,46
1650,gaze,exposure,children,target,0.3147774327122153,46
1650,gaze,exposure,adults,center,0.2535303776683087,29
1650,gaze,exposure,adults,distracter,0.05788177339901478,29
1650,gaze,exposure,adults,target,0.6885878489326765,29
1650,gaze,test,children,center,0.33346560846560847,45
1650,gaze,test,children,distracter,0.25857142857142856,45
1650,gaze,test,children,target,0.40796296296296297,45
1650,gaze,test,adults,center,0.1949206349206349,30
1650,gaze,test,adults,distracter,0.03511904761904762,30
1650,gaze,test,adults,target,0.7699603174603175,30
1650,straight_ahead,exposure,children,center,0.3357142857142857,47
1650,straight_ahead,exposure,children,distracter,0.3365501519756839,47
1650,straight_ahead,exposure,children,target,0.32773556231003037,47
1650,straight_ahead,exposure,adults,center,0.13404761904761905,30
1650,straight_ahead,exposure,adults,distracter,0.14809523809523809,30
1650,straight_ahead,exposure,adults,target,0.7178571428571429,30
1650,straight_ahead,test,children,center,0.36760385005065854,47
1650,straight_ahead,test,children,distracter,0.2700354609929078,47
1650,straight_ahead,test,children,target,0.36236068895643364,47
1650,straight_ahead,test,adults,center,0.11219211822660098,29
1650,straight_ahead,test,adults,distracter,0.06847290640394088,29
1650,straight_ahead,test,adults,target,0.8193349753694581,29
1683,gaze,exposure,children,center,0.4929606625258799,46
1683,gaze,exposure,children,distracter,0.2048136645962733,46
1683,gaze,exposure,children,target,0.3022256728778468,46
1683,gaze,exposure,adults,center,0.2744252873563218,29
1683,gaze,exposure,adults,distracter,0.04946633825944171,29
1683,gaze,exposure,adults,target,0.6761083743842364,29
1683,gaze,test,children,center,0.33026455026455026,45
1683,gaze,test,children,distracter,0.2617989417989418,45
1683,gaze,test,children,target,0.40793650793650793,45
1683,gaze,test,adults,center,0.19793650793650794,30
1683,gaze,test,adults,distracter,0.03115079365079365,30
1683,gaze,test,adults,target,0.7709126984126984,30
1683,straight_ahead,exposure,children,center,0.3327001013171226,47
1683,straight_ahead,exposure,children,distracter,0.33893110435663626,47
1683,straight_ahead,exposure,children,target,0.3283687943262411,47
1683,straight_ahead,exposure,adults,center,0.13523809523809524,30
1683,straight_ahead,exposure,adults,distracter,0.14698412698412697,30
1683,straight_ahead,exposure,adults,target,0.7177777777777777,30
1683,straight_ahead,test,children,center,0.3690222897669706,47
1683,straight_ahead,test,children,distracter,0.2774062816616008,47
1683,straight_ahead,test,children,target,0.3535714285714286,47
1683,straight_ahead,test,adults,center,0.10746031746031746,30
1683,straight_ahead,test,adults,distracter,0.06242063492063492,30
1683,straight_ahead,test,adults,target,0.8301190476190476,30
1716,gaze,exposure,children,center,0.5180641821946169,46
1716,gaze,exposure,children,distracter,0.18760351966873706,46
1716,gaze,exposure,children,target,0.29433229813664596,46
1716,gaze,exposure,adults,center,0.298440065681445,29
1716,gaze,exposure,adults,distracter,0.0451559934318555,29
1716,gaze,exposure,adults,target,0.6564039408866995,29
1716,gaze,test,children,center,0.3479100529100529,45
1716,gaze,test,children,distracter,0.2508994708994709,45
1716,gaze,test,children,target,0.4011904761904762,45
1716,gaze,test,adults,center,0.18484126984126983,30
1716,gaze,test,adults,distracter,0.025595238095238095,30
1716,gaze,test,adults,target,0.7895634920634921,30
1716,straight_ahead,exposure,children,center,0.3374366767983789,47
1716,straight_ahead,exposure,children,distracter,0.3438196555217832,47
1716,straight_ahead,exposure,children,target,0.31874366767983786,47
1716,straight_ahead,exposure,adults,center,0.13563492063492064,30
1716,straight_ahead,exposure,adults,distracter,0.1444047619047619,30
1716,straight_ahead,exposure,adults,target,0.7199603174603174,30
1716,straight_ahead,test,children,center,0.36580547112462003,47
1716,straight_ahead,test,children,distracter,0.29191995947315097,47
1716,straight_ahead,test,children,target,0.34227456940222895,47
1716,straight_ahead,test,adults,center,0.12684729064039407,29
1716,straight_ahead,test,adults,distracter,0.06424466338259441,29
1716,straight_ahead,test,adults,target,0.8089080459770115,29
1749,gaze,exposure,children,center,0.5280797101449275,46
1749,gaze,exposure,children,distracter,0.18840579710144928,46
1749,gaze,exposure,children,target,0.28351449275362317,46
1749,gaze,exposure,adults,center,0.30689655172413793,29
1749,gaze,exposure,adults,distracter,0.04630541871921182,29
1749,gaze,exposure,adults,target,0.6467980295566502,29
1749,gaze,test,children,center,0.3574603174603175,45
1749,gaze,test,children,distracter,0.25087301587301586,45
1749,gaze,test,children,target,0.39166666666666666,45
1749,gaze,test,adults,center,0.1988095238095238,30
