subid,trial_num_full,trial_num,trial_type,ss_looking_char,look,correct,count_looks,total_looks,prop_looking,m_correct,m_gaze_follow,num_shifts,rt,shift_start,shift_end,shift_correct,shift_type,condition
020816_01,4_test,4,test,face,straightahead,FALSE,84,115,0.73,0.58,0,3,0.167,right,left,FALSE,target_distracter,gaze
020816_01,4_test,4,test,left,straightahead,FALSE,13,115,0.11,0.58,0,3,0.167,right,left,FALSE,target_distracter,gaze
020816_01,4_test,4,test,right,straightahead,TRUE,18,115,0.16,0.58,0,3,0.167,right,left,FALSE,target_distracter,gaze
020816_01,5_exposure,5,exposure,face,left,FALSE,60,112,0.54,0.77,0.77,4,0.2,face,left,TRUE,face_target,gaze
020816_01,5_exposure,5,exposure,left,left,TRUE,40,112,0.36,0.77,0.77,4,0.2,face,left,TRUE,face_target,gaze
020816_01,5_exposure,5,exposure,right,left,FALSE,12,112,0.11,0.77,0.77,4,0.2,face,left,TRUE,face_target,gaze
020816_01,5_test,5,test,face,straightahead,FALSE,32,100,0.32,0.93,0,4,0.233,face,left,FALSE,face_distracter,gaze
020816_01,5_test,5,test,left,straightahead,FALSE,5,100,0.05,0.93,0,4,0.233,face,left,FALSE,face_distracter,gaze
020816_01,5_test,5,test,right,straightahead,TRUE,63,100,0.63,0.93,0,4,0.233,face,left,FALSE,face_distracter,gaze
020816_01,6_exposure,6,exposure,face,right,FALSE,22,97,0.23,0.13,0.87,2,0.667,left,right,FALSE,image_away,gaze
020816_01,6_exposure,6,exposure,left,right,TRUE,10,97,0.1,0.13,0.87,2,0.667,left,right,FALSE,image_away,gaze
020816_01,6_exposure,6,exposure,right,right,FALSE,65,97,0.67,0.13,0.87,2,0.667,left,right,FALSE,image_away,gaze
020816_01,6_test,6,test,face,straightahead,FALSE,92,113,0.81,0.52,0,4,0.333,left,right,FALSE,image_away,gaze
020816_01,6_test,6,test,left,straightahead,TRUE,11,113,0.1,0.52,0,4,0.333,left,right,FALSE,image_away,gaze
020816_01,6_test,6,test,right,straightahead,FALSE,10,113,0.09,0.52,0,4,0.333,left,right,FALSE,image_away,gaze
020816_01,7_exposure,7,exposure,face,right,FALSE,30,108,0.28,1,0,3,0.3,face,left,TRUE,face_target,gaze
020816_01,7_exposure,7,exposure,left,right,TRUE,78,108,0.72,1,0,3,0.3,face,left,TRUE,face_target,gaze
020816_01,7_exposure,7,exposure,right,NA,NA,0,108,0,1,0,3,0.3,face,left,TRUE,face_target,gaze
020816_01,7_test,7,test,face,straightahead,FALSE,38,103,0.37,0.89,0,3,0.4,left,right,FALSE,image_away,gaze
020816_01,7_test,7,test,left,straightahead,TRUE,58,103,0.56,0.89,0,3,0.4,left,right,FALSE,image_away,gaze
020816_01,7_test,7,test,right,straightahead,FALSE,7,103,0.07,0.89,0,3,0.4,left,right,FALSE,image_away,gaze
020816_01,8_exposure,8,exposure,face,left,FALSE,50,115,0.43,0,1,4,0.333,face,left,FALSE,face_distracter,gaze
020816_01,8_exposure,8,exposure,left,left,FALSE,65,115,0.57,0,1,4,0.333,face,left,FALSE,face_distracter,gaze
020816_01,8_exposure,8,exposure,right,NA,NA,0,115,0,0,1,4,0.333,face,left,FALSE,face_distracter,gaze
020816_01,8_test,8,test,face,straightahead,FALSE,84,110,0.76,0.65,0,4,0.067,face,left,TRUE,face_target,gaze
020816_01,8_test,8,test,left,straightahead,TRUE,17,110,0.15,0.65,0,4,0.067,face,left,TRUE,face_target,gaze
020816_01,8_test,8,test,right,straightahead,FALSE,9,110,0.08,0.65,0,4,0.067,face,left,TRUE,face_target,gaze
020816_01,9_exposure,9,exposure,face,right,FALSE,50,107,0.47,0.58,0.58,5,0.2,face,left,FALSE,face_distracter,gaze
020816_01,9_exposure,9,exposure,left,right,FALSE,24,107,0.22,0.58,0.58,5,0.2,face,left,FALSE,face_distracter,gaze
020816_01,9_exposure,9,exposure,right,right,TRUE,33,107,0.31,0.58,0.58,5,0.2,face,left,FALSE,face_distracter,gaze
020816_01,9_test,9,test,face,straightahead,FALSE,27,108,0.25,1,0,1,3.2,left,face,FALSE,image_away,gaze
020816_01,9_test,9,test,left,straightahead,TRUE,81,108,0.75,1,0,1,3.2,left,face,FALSE,image_away,gaze
020816_01,9_test,9,test,right,NA,NA,0,108,0,1,0,1,3.2,left,face,FALSE,image_away,gaze
020916_01,1_exposure,1,exposure,face,straightahead,FALSE,21,107,0.2,0.87,0,3,0.567,right,face,FALSE,image_face,no-gaze
020916_01,1_exposure,1,exposure,left,straightahead,FALSE,11,107,0.1,0.87,0,3,0.567,right,face,FALSE,image_face,no-gaze
020916_01,1_exposure,1,exposure,right,straightahead,TRUE,75,107,0.7,0.87,0,3,0.567,right,face,FALSE,image_face,no-gaze
020916_01,1_test,1,test,face,NA,NA,0,121,0,0.73,0,2,0.3,right,left,TRUE,distracter_target,no-gaze
020916_01,1_test,1,test,left,straightahead,TRUE,88,121,0.73,0.73,0,2,0.3,right,left,TRUE,distracter_target,no-gaze
020916_01,1_test,1,test,right,straightahead,FALSE,33,121,0.27,0.73,0,2,0.3,right,left,TRUE,distracter_target,no-gaze
020916_01,10_exposure,10,exposure,face,straightahead,FALSE,16,118,0.14,0.48,0,3,0.6,left,right,TRUE,image_away,no-gaze
020916_01,10_exposure,10,exposure,left,straightahead,FALSE,53,118,0.45,0.48,0,3,0.6,left,right,TRUE,image_away,no-gaze
020916_01,10_exposure,10,exposure,right,straightahead,TRUE,49,118,0.42,0.48,0,3,0.6,left,right,TRUE,image_away,no-gaze
020916_01,10_test,10,test,face,NA,NA,0,123,0,0.69,0,2,0.6,right,left,FALSE,target_distracter,no-gaze
020916_01,10_test,10,test,left,straightahead,FALSE,38,123,0.31,0.69,0,2,0.6,right,left,FALSE,target_distracter,no-gaze
020916_01,10_test,10,test,right,straightahead,TRUE,85,123,0.69,0.69,0,2,0.6,right,left,FALSE,target_distracter,no-gaze
020916_01,11_exposure,11,exposure,face,straightahead,FALSE,7,108,0.06,0.41,0,3,0.267,right,left,FALSE,target_distracter,no-gaze
020916_01,11_exposure,11,exposure,left,straightahead,FALSE,60,108,0.56,0.41,0,3,0.267,right,left,FALSE,target_distracter,no-gaze
020916_01,11_exposure,11,exposure,right,straightahead,TRUE,41,108,0.38,0.41,0,3,0.267,right,left,FALSE,target_distracter,no-gaze
020916_01,11_test,11,test,face,NA,NA,0,107,0,0.66,0,3,0.367,left,right,FALSE,image_away,no-gaze
020916_01,11_test,11,test,left,straightahead,TRUE,71,107,0.66,0.66,0,3,0.367,left,right,FALSE,image_away,no-gaze
020916_01,11_test,11,test,right,straightahead,FALSE,36,107,0.34,0.66,0,3,0.367,left,right,FALSE,image_away,no-gaze
020916_01,12_exposure,12,exposure,face,NA,NA,0,113,0,0.28,0,3,0.267,left,right,TRUE,image_away,no-gaze
020916_01,12_exposure,12,exposure,left,straightahead,FALSE,81,113,0.72,0.28,0,3,0.267,left,right,TRUE,image_away,no-gaze
020916_01,12_exposure,12,exposure,right,straightahead,TRUE,32,113,0.28,0.28,0,3,0.267,left,right,TRUE,image_away,no-gaze
020916_01,12_test,12,test,face,NA,NA,0,119,0,0.85,0,1,0.6,left,right,TRUE,image_away,no-gaze
020916_01,12_test,12,test,left,straightahead,FALSE,18,119,0.15,0.85,0,1,0.6,left,right,TRUE,image_away,no-gaze
020916_01,12_test,12,test,right,straightahead,TRUE,101,119,0.85,0.85,0,1,0.6,left,right,TRUE,image_away,no-gaze
020916_01,13_exposure,13,exposure,face,NA,NA,0,111,0,0.73,0,2,0.467,left,right,FALSE,image_away,no-gaze
020916_01,13_exposure,13,exposure,left,straightahead,TRUE,81,111,0.73,0.73,0,2,0.467,left,right,FALSE,image_away,no-gaze
020916_01,13_exposure,13,exposure,right,straightahead,FALSE,30,111,0.27,0.73,0,2,0.467,left,right,FALSE,image_away,no-gaze
020916_01,13_test,13,test,face,NA,NA,0,100,0,1,0,0,NA,left,NA,NA,no_shift,no-gaze
020916_01,13_test,13,test,left,straightahead,TRUE,100,100,1,1,0,0,NA,left,NA,NA,no_shift,no-gaze
020916_01,13_test,13,test,right,NA,NA,0,100,0,1,0,0,NA,left,NA,NA,no_shift,no-gaze
020916_01,14_exposure,14,exposure,face,straightahead,FALSE,72,106,0.68,0.44,0,3,0.7,left,face,FALSE,image_away,no-gaze
020916_01,14_exposure,14,exposure,left,straightahead,TRUE,15,106,0.14,0.44,0,3,0.7,left,face,FALSE,image_away,no-gaze
020916_01,14_exposure,14,exposure,right,straightahead,FALSE,19,106,0.18,0.44,0,3,0.7,left,face,FALSE,image_away,no-gaze
020916_01,14_test,14,test,face,NA,NA,0,114,0,0.12,0,1,0.467,right,left,FALSE,target_distracter,no-gaze
020916_01,14_test,14,test,left,straightahead,FALSE,100,114,0.88,0.12,0,1,0.467,right,left,FALSE,target_distracter,no-gaze
020916_01,14_test,14,test,right,straightahead,TRUE,14,114,0.12,0.12,0,1,0.467,right,left,FALSE,target_distracter,no-gaze
020916_01,15_exposure,15,exposure,face,NA,NA,0,117,0,0.68,0,5,0.3,left,right,TRUE,image_away,no-gaze
020916_01,15_exposure,15,exposure,left,straightahead,FALSE,38,117,0.32,0.68,0,5,0.3,left,right,TRUE,image_away,no-gaze
020916_01,15_exposure,15,exposure,right,straightahead,TRUE,79,117,0.68,0.68,0,5,0.3,left,right,TRUE,image_away,no-gaze
020916_01,15_test,15,test,face,NA,NA,0,117,0,0.44,0,2,1.333,right,left,TRUE,distracter_target,no-gaze
020916_01,15_test,15,test,left,straightahead,TRUE,52,117,0.44,0.44,0,2,1.333,right,left,TRUE,distracter_target,no-gaze
020916_01,15_test,15,test,right,straightahead,FALSE,65,117,0.56,0.44,0,2,1.333,right,left,TRUE,distracter_target,no-gaze
020916_01,16_exposure,16,exposure,face,NA,NA,0,103,0,0.52,0,4,0.333,right,left,TRUE,distracter_target,no-gaze
020916_01,16_exposure,16,exposure,left,straightahead,TRUE,54,103,0.52,0.52,0,4,0.333,right,left,TRUE,distracter_target,no-gaze
020916_01,16_exposure,16,exposure,right,straightahead,FALSE,49,103,0.48,0.52,0,4,0.333,right,left,TRUE,distracter_target,no-gaze
020916_01,16_test,16,test,face,NA,NA,0,118,0,0.48,0,1,2.067,left,right,TRUE,image_away,no-gaze
020916_01,16_test,16,test,left,straightahead,FALSE,61,118,0.52,0.48,0,1,2.067,left,right,TRUE,image_away,no-gaze
020916_01,16_test,16,test,right,straightahead,TRUE,57,118,0.48,0.48,0,1,2.067,left,right,TRUE,image_away,no-gaze
020916_01,2_exposure,2,exposure,face,NA,NA,0,117,0,0.13,0,2,0.4,right,left,TRUE,distracter_target,no-gaze
020916_01,2_exposure,2,exposure,left,straightahead,TRUE,15,117,0.13,0.13,0,2,0.4,right,left,TRUE,distracter_target,no-gaze
020916_01,2_exposure,2,exposure,right,straightahead,FALSE,102,117,0.87,0.13,0,2,0.4,right,left,TRUE,distracter_target,no-gaze
020916_01,2_test,2,test,face,NA,NA,0,121,0,0.55,0,3,0.4,right,left,TRUE,distracter_target,no-gaze
020916_01,2_test,2,test,left,straightahead,TRUE,66,121,0.55,0.55,0,3,0.4,right,left,TRUE,distracter_target,no-gaze
020916_01,2_test,2,test,right,straightahead,FALSE,55,121,0.45,0.55,0,3,0.4,right,left,TRUE,distracter_target,no-gaze
020916_01,3_exposure,3,exposure,face,NA,NA,0,118,0,0.31,0,1,1.367,left,right,FALSE,image_away,no-gaze
020916_01,3_exposure,3,exposure,left,straightahead,TRUE,36,118,0.31,0.31,0,1,1.367,left,right,FALSE,image_away,no-gaze
020916_01,3_exposure,3,exposure,right,straightahead,FALSE,82,118,0.69,0.31,0,1,1.367,left,right,FALSE,image_away,no-gaze
020916_01,3_test,3,test,face,straightahead,FALSE,3,105,0.03,0.68,0,2,0.233,right,left,FALSE,target_distracter,no-gaze
020916_01,3_test,3,test,left,straightahead,FALSE,33,105,0.31,0.68,0,2,0.233,right,left,FALSE,target_distracter,no-gaze
020916_01,3_test,3,test,right,straightahead,TRUE,69,105,0.66,0.68,0,2,0.233,right,left,FALSE,target_distracter,no-gaze
020916_01,4_exposure,4,exposure,face,straightahead,FALSE,6,122,0.05,0.84,0,3,0.2,face,left,TRUE,face_target,no-gaze
020916_01,4_exposure,4,exposure,left,straightahead,TRUE,98,122,0.8,0.84,0,3,0.2,face,left,TRUE,face_target,no-gaze
020916_01,4_exposure,4,exposure,right,straightahead,FALSE,18,122,0.15,0.84,0,3,0.2,face,left,TRUE,face_target,no-gaze
020916_01,4_test,4,test,face,NA,NA,0,104,0,0.88,0,2,0.267,left,right,FALSE,image_away,no-gaze
020916_01,4_test,4,test,left,straightahead,TRUE,92,104,0.88,0.88,0,2,0.267,left,right,FALSE,image_away,no-gaze
020916_01,4_test,4,test,right,straightahead,FALSE,12,104,0.12,0.88,0,2,0.267,left,right,FALSE,image_away,no-gaze
020916_01,5_exposure,5,exposure,face,NA,NA,0,120,0,0.9,0,2,0.8,left,right,FALSE,image_away,no-gaze
020916_01,5_exposure,5,exposure,left,straightahead,TRUE,108,120,0.9,0.9,0,2,0.8,left,right,FALSE,image_away,no-gaze
020916_01,5_exposure,5,exposure,right,straightahead,FALSE,12,120,0.1,0.9,0,2,0.8,left,right,FALSE,image_away,no-gaze
020916_01,5_test,5,test,face,straightahead,FALSE,52,113,0.46,0.72,0,2,0.767,left,right,TRUE,image_away,no-gaze
020916_01,5_test,5,test,left,straightahead,FALSE,17,113,0.15,0.72,0,2,0.767,left,right,TRUE,image_away,no-gaze
020916_01,5_test,5,test,right,straightahead,TRUE,44,113,0.39,0.72,0,2,0.767,left,right,TRUE,image_away,no-gaze
020916_01,6_exposure,6,exposure,face,straightahead,FALSE,48,118,0.41,0.16,0,4,1.267,face,left,FALSE,face_distracter,no-gaze
020916_01,6_exposure,6,exposure,left,straightahead,FALSE,59,118,0.5,0.16,0,4,1.267,face,left,FALSE,face_distracter,no-gaze
020916_01,6_exposure,6,exposure,right,straightahead,TRUE,11,118,0.09,0.16,0,4,1.267,face,left,FALSE,face_distracter,no-gaze
020916_01,6_test,6,test,face,NA,NA,0,114,0,0.78,0,2,1.333,left,right,FALSE,image_away,no-gaze
020916_01,6_test,6,test,left,straightahead,TRUE,89,114,0.78,0.78,0,2,1.333,left,right,FALSE,image_away,no-gaze
020916_01,6_test,6,test,right,straightahead,FALSE,25,114,0.22,0.78,0,2,1.333,left,right,FALSE,image_away,no-gaze
020916_01,7_exposure,7,exposure,face,NA,NA,0,88,0,0.16,0,2,0.867,left,right,TRUE,image_away,no-gaze
020916_01,7_exposure,7,exposure,left,straightahead,FALSE,74,88,0.84,0.16,0,2,0.867,left,right,TRUE,image_away,no-gaze
020916_01,7_exposure,7,exposure,right,straightahead,TRUE,14,88,0.16,0.16,0,2,0.867,left,right,TRUE,image_away,no-gaze
020916_01,7_test,7,test,face,NA,NA,0,115,0,0.64,0,3,0.2,left,right,TRUE,image_away,no-gaze
020916_01,7_test,7,test,left,straightahead,FALSE,41,115,0.36,0.64,0,3,0.2,left,right,TRUE,image_away,no-gaze
020916_01,7_test,7,test,right,straightahead,TRUE,74,115,0.64,0.64,0,3,0.2,left,right,TRUE,image_away,no-gaze
020916_01,8_exposure,8,exposure,face,NA,NA,0,118,0,0.75,0,1,1,left,right,TRUE,image_away,no-gaze
020916_01,8_exposure,8,exposure,left,straightahead,FALSE,30,118,0.25,0.75,0,1,1,left,right,TRUE,image_away,no-gaze
020916_01,8_exposure,8,exposure,right,straightahead,TRUE,88,118,0.75,0.75,0,1,1,left,right,TRUE,image_away,no-gaze
020916_01,8_test,8,test,face,NA,NA,0,92,0,0.52,0,5,0.733,right,left,FALSE,target_distracter,no-gaze
020916_01,8_test,8,test,left,straightahead,FALSE,44,92,0.48,0.52,0,5,0.733,right,left,FALSE,target_distracter,no-gaze
020916_01,8_test,8,test,right,straightahead,TRUE,48,92,0.52,0.52,0,5,0.733,right,left,FALSE,target_distracter,no-gaze
020916_01,9_exposure,9,exposure,face,NA,NA,0,118,0,0.74,0,2,1.067,left,right,FALSE,image_away,no-gaze
020916_01,9_exposure,9,exposure,left,straightahead,TRUE,87,118,0.74,0.74,0,2,1.067,left,right,FALSE,image_away,no-gaze
020916_01,9_exposure,9,exposure,right,straightahead,FALSE,31,118,0.26,0.74,0,2,1.067,left,right,FALSE,image_away,no-gaze
020916_01,9_test,9,test,face,NA,NA,0,117,0,1,0,0,NA,left,NA,NA,no_shift,no-gaze
020916_01,9_test,9,test,left,straightahead,TRUE,117,117,1,1,0,0,NA,left,NA,NA,no_shift,no-gaze
020916_01,9_test,9,test,right,NA,NA,0,117,0,1,0,0,NA,left,NA,NA,no_shift,no-gaze
